17,81,15
19,88,14
20,90,14
23,92,19
25,90,22
24,83,23
25,80,14
26,70,13
22,60,18
19,64,20
15,63,11
6,55,-1
8,50,0
22,37,5
25,31,6
37,26,10
42,26,14
35,24,13
26,20,16
23,22,18
32,37,27
60,66,33
80,95,43
93,119,44
56,105,30
39,106,25
35,115,22
32,100,16
39,80,3
36,64,0
31,47,-3
22,49,-3
28,54,-3
11,59,-5
20,51,-7
36,60,7
21,59,0
34,61,2
86,39,-31
70,37,-44
67,16,-28
76,22,-24
74,22,-15
60,5,-17
49,12,-32
52,-10,-29
52,-8,-22
54,-2,-16
58,6,-12
61,8,-16
49,14,-12
37,11,-14
63,1,-18
65,-8,-29
50,7,-29
89,24,-11
72,27,-28
83,10,-7
82,6,6
56,-7,-11
50,-10,-13
54,-8,-9
52,-13,-5
45,-16,-5
46,-17,2
55,-21,5
54,-23,16
49,-23,28
48,-24,41
41,-20,44
30,-27,42
40,-27,61
42,17,80
43,12,68
27,10,71
30,12,53
29,7,45
30,4,56
14,3,52
13,3,43
31,-11,36
16,-9,33
16,-7,36
23,-15,49
24,-8,64
25,-13,72
15,-5,84
20,-9,104
68,-4,97
57,-7,86
53,-6,71
48,-10,64
40,8,70
24,9,68
11,4,66
6,-4,59
9,-3,56
-18,-22,46
-8,-7,43
-2,-12,43
-19,-3,48
-8,0,51
25,-1,55
17,-21,48
18,-25,57
27,-26,70
30,-31,76
2,-28,59
9,-24,60
16,-22,61
-2,-27,44
2,-30,41
1,-25,33
3,-22,30
10,-22,33
6,-21,20
6,-21,25
31,-19,32
43,-25,33
59,-23,40
83,-15,30
88,-10,22
100,1,1
112,-1,-35
122,1,-26
82,-13,-21
70,-14,-16
61,-6,6
57,-10,-2
53,-6,-4
50,-2,-11
57,0,-10
33,16,-16
56,11,-35
64,11,-37
72,6,-31
83,4,-28
85,10,-42
71,6,-30
70,9,-21
58,9,-14
53,10,-15
52,14,-16
46,10,-20
40,6,-21
32,3,-18
30,2,-16
39,-2,-12
46,-4,-10
50,-5,-9
57,-7,-9
63,-7,-10
69,-1,-10
74,3,-5
84,1,-7
115,11,-21
118,23,-24
99,30,-1
85,40,-4
66,40,-6
51,36,-16
51,33,-18
49,25,-28
41,22,-30
36,24,-29
34,21,-29
35,22,-26
37,20,-18
48,15,-10
51,16,-4
60,11,6
59,13,15
77,14,18
73,18,-13
85,20,-31
93,34,-61
71,26,-51
47,42,0
60,32,-40
67,20,-41
45,28,-34
51,16,-51
62,0,-42
63,-9,-26
64,-12,-24
59,-9,-13
60,-15,-16
58,-7,-25
41,-9,-27
35,-13,-20
49,-17,-33
42,-14,-32
28,-10,-24
41,-17,-27
36,-13,-30
28,-6,-25
34,-4,-20
41,-6,-42
44,-2,-39
32,3,-34
43,8,-40
46,13,-37
50,15,-38
58,11,-33
57,11,-37
57,11,-39
57,13,-39
50,18,-50
54,16,-45
46,15,-48
39,13,-56
43,14,-55
40,15,-57
45,12,-57
42,12,-50
41,12,-53
42,13,-53
46,18,-44
46,22,-48
44,22,-51
39,25,-39
9,36,-10
38,14,-57
38,18,-59
24,21,-40
48,21,-49
51,21,-66
37,21,-50
47,30,-53
45,34,-59
66,34,-53
47,38,-53
31,44,-35
27,42,-32
32,31,-33
25,25,-43
37,21,-43
52,23,-56
45,29,-59
48,33,-56
48,30,-52
45,26,-52
44,19,-42
39,18,-34
31,19,-21
28,31,4
31,36,20
54,23,39
39,17,25
49,26,29
70,25,21
73,24,11
79,21,10
73,18,2
61,34,20
77,31,3
48,26,-19
61,23,-6
67,32,9
47,20,-19
62,24,-2
58,28,0
55,25,-6
62,30,1
49,30,-10
57,33,-4
60,32,-6
50,27,-5
50,27,-6
60,33,2
55,30,-3
51,32,-3
58,34,-8
53,33,-1
52,34,-11
49,30,5
54,34,-6
60,27,1
58,26,-5
47,31,-3
61,30,-2
49,15,-9
56,35,1
53,32,-1
58,29,1
59,29,-6
64,16,-1
56,31,-5
62,32,5
