,0,1,2
281,1691.218749,0.640625,1647183286.218749
282,1691.843749,0.625,1647183286.843749
283,1692.546874,0.703125,1647183287.546874
284,1693.234374,0.6875,1647183288.234374
285,1693.890624,0.65625,1647183288.890624
286,1694.531249,0.640625,1647183289.531249
287,1695.171874,0.640625,1647183290.171874
288,1695.843749,0.671875,1647183290.843749
289,1696.499999,0.65625,1647183291.499999
290,1697.140624,0.640625,1647183292.140624
291,1697.781249,0.640625,1647183292.781249
292,1698.421874,0.640625,1647183293.421874
293,1699.078124,0.65625,1647183294.078124
294,1699.718749,0.640625,1647183294.718749
295,1700.374999,0.65625,1647183295.374999
296,1701.078124,0.703125,1647183296.078124
297,1701.749999,0.671875,1647183296.749999
298,1702.406249,0.65625,1647183297.406249
299,1703.093749,0.6875,1647183298.093749
300,1703.718749,0.625,1647183298.718749
301,1704.421874,0.703125,1647183299.421874
302,1705.093749,0.671875,1647183300.093749
303,1705.781249,0.6875,1647183300.781249
304,1706.421874,0.640625,1647183301.421874
305,1706.968749,0.546875,1647183301.968749
306,1711.765624,0.6875,1647183306.765624
307,1719.015624,0.671875,1647183314.015624
308,1719.671874,0.65625,1647183314.671874
309,1720.328124,0.65625,1647183315.328124
310,1721.015624,0.6875,1647183316.015624
311,1721.640624,0.625,1647183316.640624
312,1722.296874,0.65625,1647183317.296874
313,1722.968749,0.671875,1647183317.968749
314,1723.609374,0.640625,1647183318.609374
315,1724.265624,0.65625,1647183319.265624
316,1724.937499,0.671875,1647183319.937499
317,1725.593749,0.65625,1647183320.593749
318,1726.234374,0.640625,1647183321.234374
319,1726.890624,0.65625,1647183321.890624
320,1727.562499,0.671875,1647183322.562499
321,1728.218749,0.65625,1647183323.218749
322,1728.890624,0.671875,1647183323.890624
323,1729.562499,0.671875,1647183324.562499
324,1730.218749,0.65625,1647183325.218749
325,1730.843749,0.625,1647183325.843749
326,1731.531249,0.6875,1647183326.531249
327,1732.171874,0.640625,1647183327.171874
328,1732.843749,0.671875,1647183327.843749
329,1733.515624,0.671875,1647183328.515624
330,1734.140624,0.625,1647183329.140624
331,1734.843749,0.703125,1647183329.843749
332,1735.624999,0.78125,1647183330.624999
333,1736.296874,0.671875,1647183331.296874
334,1736.984374,0.6875,1647183331.984374
335,1737.640624,0.65625,1647183332.640624
336,1738.296874,0.65625,1647183333.296874
337,1738.937499,0.640625,1647183333.937499
338,1739.609374,0.671875,1647183334.609374
339,1740.281249,0.671875,1647183335.281249
340,1740.937499,0.65625,1647183335.937499
341,1741.593749,0.65625,1647183336.593749
342,1742.265624,0.671875,1647183337.265624
343,1742.937499,0.671875,1647183337.937499
344,1743.546874,0.609375,1647183338.546874
345,1744.249999,0.703125,1647183339.249999
346,1744.874999,0.625,1647183339.874999
347,1745.531249,0.65625,1647183340.531249
348,1746.187499,0.65625,1647183341.187499
349,1746.812499,0.625,1647183341.812499
350,1747.484374,0.671875,1647183342.484374
351,1748.124999,0.640625,1647183343.124999
352,1748.781249,0.65625,1647183343.781249
353,1749.437499,0.65625,1647183344.437499
354,1750.078124,0.640625,1647183345.078124
355,1750.703124,0.625,1647183345.703124
356,1751.374999,0.671875,1647183346.374999
357,1752.046874,0.671875,1647183347.046874
358,1752.687499,0.640625,1647183347.687499
359,1753.328124,0.640625,1647183348.328124
360,1753.999999,0.671875,1647183348.999999
361,1754.656249,0.65625,1647183349.656249
362,1755.296874,0.640625,1647183350.296874
363,1755.937499,0.640625,1647183350.937499
364,1756.656249,0.71875,1647183351.656249
365,1757.281249,0.625,1647183352.281249
366,1757.921874,0.640625,1647183352.921874
